slug	title	summary	url	format	tool_slugs	provider	provider_type	publication_date	experience_level	workshop	topics	curation_status	notes
ntmss2023-mzmine-preprocessing-1	NTMSS2023 Day2 S2 - Data preprocessing in MZmine 3 I	Hands-on introduction to preprocessing untargeted LC-MS data in MZmine 3 at the 2023 International Summer School on Non-Targeted Metabolomics.	https://www.youtube.com/watch?v=MmUY5qCz8eo	workshop_recording	mzmine	Functional Metabolomics Lab	workshop	2023-08-24	introductory	3rd International Summer School on Non-Targeted Metabolomics 2023	preprocessing;feature detection;LC-MS	strong	Official summer-school recording; high-value seed.
ntmss2023-mzmine-new-features	NTMSS2023 Day2 BONUS - MZmine 3 New Features	Summer-school session highlighting newer MZmine 3 functionality and workflow features.	https://www.youtube.com/watch?v=MdpUNf-xTmQ	workshop_recording	mzmine	Functional Metabolomics Lab	workshop	2023-08-24	intermediate	3rd International Summer School on Non-Targeted Metabolomics 2023	MZmine;workflow features	strong	Good complement to the preprocessing session.
ntmss2023-sirius-csifingerid-1	NTMSS2023 Day3 S4 - Sirius+CSI:FingerID I	Workshop session on molecular-formula and structure annotation using SIRIUS and CSI:FingerID.	https://www.youtube.com/watch?v=Gj_h7fvzL_g	workshop_recording	sirius;csi-fingerid	Functional Metabolomics Lab	workshop	2023-08-24	intermediate	3rd International Summer School on Non-Targeted Metabolomics 2023	annotation;formula prediction;structure annotation	strong	Directly relevant to annotation workflow nodes.
ntmss2023-ms2lda	NTMSS2023 Day4 S5 - MS2LDA	Summer-school workshop session introducing MS2LDA for discovering recurring fragmentation patterns and substructures.	https://www.youtube.com/watch?v=M6UlZA9JaY8	workshop_recording	ms2lda	Functional Metabolomics Lab	workshop	2023-08-24	intermediate	3rd International Summer School on Non-Targeted Metabolomics 2023	MS2LDA;substructure discovery;MS/MS	strong	Current enough to be a useful MS2LDA learning resource.
ntmss2022-ms2lda-molnetenhancer	NTMSS2022 Day3 S3 - MS2LDA and MolNetEnhancer	Workshop session combining MS2LDA and MolNetEnhancer for molecular-network interpretation.	https://www.youtube.com/watch?v=Eg4cH93yViA	workshop_recording	ms2lda;molnetenhancer	Functional Metabolomics Lab	workshop	2022-08-29	intermediate	2nd International Summer School on Non-Targeted Metabolomics 2022	MS2LDA;MolNetEnhancer;molecular networking	strong	Useful example of a multi-tool education record.
cmfi-pyopenms-metabolomics	CMFI Mass Spec Seminar #10 - Metabolomics Data Analysis with pyOpenMS	Introductory and hands-on tutorial for metabolomics analysis using pyOpenMS.	https://www.youtube.com/watch?v=XWDFZXYp1qM	workshop_recording	openms	Functional Metabolomics Lab	workshop	2022-05-11	introductory	CMFI Mass Spec Seminar	pyOpenMS;OpenMS;LC-MS;hands-on	strong	Hands-on component and Binder workflow make this especially useful.
gnps-fbmn-mzmine2-american-gut	GNPS - Feature Based Molecular Networking - MZMine2 Tutorial	Walkthrough of Feature-Based Molecular Networking using MZmine2 outputs and an American Gut Project dataset.	https://www.youtube.com/watch?v=5jjMllbwD-U	video_tutorial	gnps-feature-based-molecular-networking;mzmine	Dorrestein Lab	developer	2018-08-29	introductory	GNPS tutorial	FBMN;MZmine;feature table;MS/MS	legacy	Strong conceptual tutorial, but MZmine2 interface is outdated; label as legacy.
gnps-fbmn-mzmine2-workshop-2020	GNPS Feature Based Molecular Networking (MZmine2)	GNPS workshop showing MZmine2 preprocessing and preparation for Feature-Based Molecular Networking.	https://www.youtube.com/watch?v=MwdJ6mVkdJY	workshop_recording	gnps-feature-based-molecular-networking;mzmine	GNPS	developer	2020-05-13	introductory	GNPS online workshop series	FBMN;MZmine;preprocessing;export	legacy	Official GNPS workshop; preserve with an outdated-interface warning.
gnps-classical-molecular-networking-2020	GNPS Classical Molecular Networking	GNPS workshop introducing classical molecular networking concepts and workflow execution.	https://www.youtube.com/watch?v=PqTuex0nsGk	workshop_recording	gnps-classical-molecular-networking;gnps	GNPS	developer	2020-04-29	introductory	GNPS online workshop series	classical molecular networking;GNPS	strong	Found on the official GNPS workshops page.
gnps-masst-2020	GNPS MASST	Workshop on searching a query MS/MS spectrum across public GNPS datasets and spectral libraries with MASST.	https://www.youtube.com/watch?v=14hGi6FtZIM	workshop_recording	masst;gnps	GNPS	developer	2020-04-22	introductory	GNPS online workshop series	MASST;repository-scale search;MS/MS	strong	Still useful conceptually; verify UI changes before publication.
