source_row	name	source_category	source_subcategory	tool_url	publication_url	reason
4	Protomix	NMR		https://github.com/mzniber/Protomix	https://doi.org/10.1093/bioadv/vbae192	Source category contains NMR
11	ukbnmr	NMR		https://github.com/sritchie73/ukbnmr/	https://www.nature.com/articles/s41597-023-01949-y	Source category contains NMR
12	NMRQNet	NMR		https://github.com/LiuzLab/NMRQNet	https://www.biorxiv.org/content/10.1101/2023.03.01.530642v1	Source category contains NMR
32	mcfNMR	NMR		https://github.com/GeoMetabolomics-ICBM/mcfNMR	https://pubs.acs.org/doi/full/10.1021/acs.analchem.4c01652	Source category contains NMR
40	pSCNN	NMR		https://github.com/yuxuanliao/pSCNN	https://www.mdpi.com/1420-3049/27/12/3653	Source category contains NMR
48	FlavorFormer	NMR		https://github.com/yfWang01/FlavorFormer	https://www.sciencedirect.com/science/article/pii/S0026265X25027201	Source category contains NMR
53	MultiNMRFit	NMR		https://github.com/NMRTeamTBI/MultiNMRFit/	https://academic.oup.com/bioinformatics/article/41/9/btaf463/8239312	Source category contains NMR
54	MetSCORE	NMR		NA	https://cardiab.biomedcentral.com/articles/10.1186/s12933-024-02363-3	Source category contains NMR
73	CReSS	NMR		https://github.com/Qihoo360/CReSS	https://pubs.acs.org/doi/10.1021/acs.analchem.1c04307	Source category contains NMR
85	Bucket Fuser	NMR		https://www.mdpi.com/article/10.3390/metabo12090812/s1	https://www.mdpi.com/2218-1989/12/9/812	Source category contains NMR
119	ASICS	NMR		https://github.com/GaelleLefort/ASICS	https://pubs.acs.org/doi/10.1021/acs.analchem.0c04232	Source category contains NMR
179	ROIAL-NMR	NMR		https://github.com/Leo-Cheng-Lab/ROIAL-NMR	https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/nbm.70131	Source category contains NMR
209	SMolESY	NMR		https://github.com/pantakis/SMolESY-select	https://pubs.acs.org/doi/10.1021/acs.analchem.1c00113	Source category contains NMR
214	NMIRacle	IR/NMR/Annotation		NA	https://arxiv.org/abs/2512.19733	Source category contains NMR
215	MetAssimulo 2.0	NMR		https://github.com/yanyan5420/MetAssimulo_2	https://academic.oup.com/bioinformatics/article/41/3/btaf045/7979240	Source category contains NMR
305	NMRphasing	NMR		https://github.com/ajiangsfu/NMRphasing	https://ojs.bonviewpress.com/index.php/jdsis/article/view/4036	Source category contains NMR
322	PRIMA-Panel	NMR		https://github.com/funkam/PRIMA	https://pubs.acs.org/doi/10.1021/acs.analchem.4c04938	Source category contains NMR
324	SAND	NMR		https://github.com/edisonomics/SAND	https://pubs.acs.org/doi/10.1021/acs.analchem.3c03078	Source category contains NMR
356	nmRanalysis	NMR		https://github.com/EMSL-Computing/nmRanalysis	https://pubs.acs.org/doi/10.1021/acs.analchem.4c05104	Source category contains NMR
