source_row	name	source_category	tool_url	matched_navigator_slug	note
31	LIPID MAPS	Lipidomics	https://www.lipidmaps.org/	lipid-maps	Likely existing entry or version/update; review as update rather than new tool
36	MASST+	Annotation	https://github.com/mohimanilab/MASSTplus	masst	Likely existing entry or version/update; review as update rather than new tool
64	LipidSig	Lipidomics	http://chenglab.cmu.edu.tw/lipidsig	lipidsig	Likely existing entry or version/update; review as update rather than new tool
65	LipidSig 2.0	Lipidomics	https://lipidsig.bioinfomics.org/	lipidsig	Likely existing entry or version/update; review as update rather than new tool
102	MZmine 3	Multifunctional	https://github.com/mzmine/mzmine	mzmine	Likely existing entry or version/update; review as update rather than new tool
131	MSNovelist	Annotation	https://github.com/meowcat/MSNovelist	msnovelist	Likely existing entry or version/update; review as update rather than new tool
137	xcms	Pre-processing	https://github.com/sneumann/xcms	xcms	Likely existing entry or version/update; review as update rather than new tool
138	MetaboLights	Database	https://www.ebi.ac.uk/metabolights, https://github.com/EBI-Metabolights	metabolights	Likely existing entry or version/update; review as update rather than new tool
151	COCONUT	Database	https://coconut.naturalproducts.net/	coconut	Likely existing entry or version/update; review as update rather than new tool
152	CANOPUS	Annotation	https://bio.informatik.uni-jena.de/software/canopus/	canopus	Likely existing entry or version/update; review as update rather than new tool
184	matchms	Multifunctional	https://github.com/matchms/matchms	matchms	Likely existing entry or version/update; review as update rather than new tool
196	MS2DeepScore 2.0	Annotation	https://github.com/matchms/MS2DeepScore	ms2deepscore	Likely existing entry or version/update; review as update rather than new tool
211	peakPantheR	Large scale	https://bioconductor.org/packages/peakPantheR/	peakpanther	Likely existing entry or version/update; review as update rather than new tool
246	asari	Pre-processing	https://github.com/shuzhao-li-lab/asari	asari	Likely existing entry or version/update; review as update rather than new tool
283	M2aia	Imaging MS	https://github.com/m2aia/m2aia	m2aia	Likely existing entry or version/update; review as update rather than new tool
290	MIST	Annotation	https://github.com/samgoldman97/mist	mist	Likely existing entry or version/update; review as update rather than new tool
294	ICEBERG	Annotation	https://github.com/coleygroup/ms-pred	iceberg	Likely existing entry or version/update; review as update rather than new tool
301	MetaboAnalyst 5.0	Multifunctional	http://www.metaboanalyst.ca/	metaboanalyst	Likely existing entry or version/update; review as update rather than new tool
302	MetaboAnalyst 6.0	Multifunctional	https://www.metaboanalyst.ca	metaboanalyst	Likely existing entry or version/update; review as update rather than new tool
304	MetaboAnalystR 4.0	Multifunctional	http://www.metaboanalyst.ca/	metaboanalystr	Likely existing entry or version/update; review as update rather than new tool
321	metLinkR	Pathway, Enrichment and Ontology Tools	https://github.com/metLinkR/metLinkR	metlinkr	Likely existing entry or version/update; review as update rather than new tool
333	MS2DeepScore	Annotation	https://github.com/matchms/ms2deepscore	ms2deepscore	Likely existing entry or version/update; review as update rather than new tool
337	Cardinal v3	Imaging MS	https://github.com/kuwisdelu/Cardinal	cardinal	Likely existing entry or version/update; review as update rather than new tool
344	MassBank	Spectral Library	https://massbank.jp/	massbank	Likely existing entry or version/update; review as update rather than new tool
348	MZA	Formats	https://github.com/PNNL-m-q/mza	mza	Likely existing entry or version/update; review as update rather than new tool
349	mzapy	Formats	https://github.com/PNNL-m-q/mzapy	mzapy	Likely existing entry or version/update; review as update rather than new tool
350	LipidOz	Lipidomics	https://github.com/PNNL-m-q/lipidoz	lipidoz	Likely existing entry or version/update; review as update rather than new tool
