source_row	name	source_category	source_subcategory	tool_url	publication_url	year	flags	manuscript_title
8	MMST	Annotation	Others	https://github.com/mpriessner/MultiModalSpectralTransformer	https://onlinelibrary.wiley.com/doi/10.1002/ange.202517611	2026	mixed_nmr_mentions	Advancing Structure Elucidation with a Flexible Multi‑Spectral AI Model
9	GlyKAn AZ	Specialized		https://github.com/ZaylaSchaeffer/GlyKAn-AZ-application	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-023-05346-5	2023	broad_source_bucket_manual_review	A MATLAB-based app to improve LC–MS/MS data analysis for N-linked glycan peak identification
14	MetaboLINK/ PCA-GLASSO	Statistical		https://github.com/jlichtarge/pcaGLASSO	https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2024.1520982	2025	mixed_nmr_mentions	MetaboLINK is a novel algorithm for unveiling cell-specific metabolic pathways in longitudinal datasets
19	MobiLipid	Ion Mobility MS		https://github.com/FelinaHildebrand/MobiLipid	https://pubs.acs.org/doi/10.1021/acs.analchem.4c01253	2024	ion_mobility_platform_dimension	MobiLipid: A Tool for Enhancing CCS Quality Control of Ion Mobility–Mass Spectrometry Lipidomics by Internal Standardization
22	NP3 MS Workflow	Multifunctional		https://github.com/danielatrivella/NP3_MS_Workflow	https://pubs.acs.org/doi/10.1021/acs.analchem.3c05829	2024	broad_source_bucket_manual_review	NP3 MS Workflow: An Open-Source Software System to Empower Natural Product-Based Drug Discovery Using Untargeted Metabolomics
24	MSConnect	Specialized		https://github.com/RTKlab-BYU/MSConnect	https://pubs.acs.org/doi/abs/10.1021/acs.jproteome.4c00854	2025	broad_source_bucket_manual_review;scope_review_adjacent_field	MSConnect: Open-Source, End-to-End Platform for Automated Mass Spectrometry Data Management, Analysis, and Visualization
26	MetaboScape 2025	Holistic/ Standalone Tools		https://www.bruker.com/en/products-and-solutions/mass-spectrometry/ms-software/metaboscape.html	https://www.bruker.com/en/products-and-solutions/mass-spectrometry/ms-software/metaboscape.html	2025	broad_source_bucket_manual_review	MetaboScape® 2025: An all‑in‑one command centre for metabolomics and lipidomics
28	MAVEN2	Holistic/ Standalone Tools		https://github.com/eugenemel/maven/releases/tag/2.11.8	https://www.mdpi.com/2218-1989/12/8/684	2022	broad_source_bucket_manual_review	MAVEN2: An Updated Open-Source Mass Spectrometry Exploration Platform
42	SigmaCCS	Ion Mobility MS		https://github.com/zmzhang/SigmaCCS, https://github.com/yuxuanliao/SigmaCCS, https://github.com/YoujiaZhang/SigmaCCS	https://www.nature.com/articles/s42004-023-00939-w	2023	ion_mobility_platform_dimension	Highly accurate and large-scale collision cross sections prediction with graph neural networks
47	PACCS	Ion Mobility MS		https://github.com/yuxuanliao/PACCS	https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/cem.70040	2025	ion_mobility_platform_dimension	Accurate and Rational Collision Cross Section Prediction Using Voxel-Projected Area and Deep Learning
49	IsoSolve	Isotopic		https://pypi.org/project/isosolve/	https://www.biorxiv.org/content/10.1101/2021.03.08.430771v1	2021	mixed_nmr_mentions	IsoSolve: an integrative framework to improve isotopic coverage and consolidate isotopic measurements by MS and/or NMR
57	AutonoMS	Ion Mobility MS		https://autonoms.readthedocs.io	https://pubs.acs.org/doi/10.1021/jasms.3c00396	2024	ion_mobility_platform_dimension	AutonoMS: Automated Ion Mobility Metabolomic Fingerprinting
67	HORDB	Organism specific		https://github.com/CPU-HORDB/HORDB	https://www.nature.com/articles/s41597-022-01287-5	2022	scope_review_adjacent_field	HORDB a comprehensive database of peptide hormones
68	SSN-CCSPIF	Ion Mobility MS		https://github.com/Anqi-Guo0105/Trendline-based-IM-MS-Feature-Filtering-Software-V1.0	https://www.sciencedirect.com/science/article/pii/S0003267023009418	2023	ion_mobility_platform_dimension	A structural similarity networking assisted collision cross‑section prediction interval filtering strategy for multi‑compound identification of complex matrix by ion‑mobility mass spectrometry
79	Met4DX	Ion Mobility MS		https://met4dx.zhulab.cn/, https://github.com/ZhuMetLab/Met4DX	https://pubs.acs.org/doi/full/10.1021/jasms.4c00290	2024	ion_mobility_platform_dimension	Met4DX: A Unified and Versatile Data Processing Tool for Multidimensional Untargeted Metabolomics Data
