source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
2	LC-MS2Struct	Annotation	Molecular library retrieval	https://github.com/aalto-ics-kepaco/msms_rt_ssvm	https://www.nature.com/articles/s42256-022-00577-2	2022	Python	annotation_identification	lc_ms	untargeted	python_package	database_knowledgebase	
3	MSI-Explorer	Imaging MS		https://github.com/MMV-Lab/MSI-Explorer	https://pubs.acs.org/doi/10.1021/acs.analchem.5c01513	2025	Python	annotation_identification	imaging_ms	spatial_metabolomics	python_package	programming_package	
8	MMST	Annotation	Others	https://github.com/mpriessner/MultiModalSpectralTransformer	https://onlinelibrary.wiley.com/doi/10.1002/ange.202517611	2026	Python	annotation_identification	platform_independent		python_package	programming_package	mixed_nmr_mentions
9	GlyKAn AZ	Specialized		https://github.com/ZaylaSchaeffer/GlyKAn-AZ-application	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-023-05346-5	2023	MATLAB	annotation_identification	lc_ms;maldi_ms		matlab	workflow_pipeline	broad_source_bucket_manual_review
10	Lipid4DAnalyzer	Lipidomics		http://lipid4danalyzer.zhulab.cn/	https://doi.org/10.1016/j.aca.2022.339886	2022	Webserver	annotation_identification	platform_independent	lipidomics;untargeted	web_app	web_service	
18	SEISMiQ	Annotation	De Novo Generation	https://github.com/Boehringer-Ingelheim/seismiq	https://chemrxiv.org/engage/chemrxiv/article-details/67c0518081d2151a024875ed	2025	Python, Shell	annotation_identification	lc_ms		python_package	database_knowledgebase	
21	AnnoMe	Annotation	Others	https://github.com/chrboku/AnnoMe	https://chemrxiv.org/engage/chemrxiv/article-details/6895a25a23be8e43d653f5e9	2025	Python	annotation_identification	lc_ms		python_package	programming_package	
26	MetaboScape 2025	Holistic/ Standalone Tools		https://www.bruker.com/en/products-and-solutions/mass-spectrometry/ms-software/metaboscape.html	https://www.bruker.com/en/products-and-solutions/mass-spectrometry/ms-software/metaboscape.html	2025	Proprietary	annotation_identification	platform_independent	lipidomics		software_application	broad_source_bucket_manual_review
28	MAVEN2	Holistic/ Standalone Tools		https://github.com/eugenemel/maven/releases/tag/2.11.8	https://www.mdpi.com/2218-1989/12/8/684	2022	C++	annotation_identification	lc_ms	lipidomics	command_line	workflow_pipeline	broad_source_bucket_manual_review
29	SMART	Spatial Metabolomics		https://github.com/bioinfo-ibms-pumc/SMART	https://pubs.acs.org/doi/10.1021/acs.analchem.4c06210	2025	Python	annotation_identification	imaging_ms;lc_ms	spatial_metabolomics	python_package	database_knowledgebase	
37	VInSMoC	Annotation	Molecular library retrieval	https://github.com/mohimanilab/VInSMoC	https://www.nature.com/articles/s43588-025-00923-5	2025	Rust	annotation_identification	platform_independent		command_line	database_knowledgebase	
39	GNN-RT	RT		https://github.com/Qiong-Yang/GNN-RT	https://pubs.acs.org/doi/full/10.1021/acs.analchem.0c04071	2021	Python	annotation_identification	platform_independent		python_package	programming_package	
42	SigmaCCS	Ion Mobility MS		https://github.com/zmzhang/SigmaCCS, https://github.com/yuxuanliao/SigmaCCS, https://github.com/YoujiaZhang/SigmaCCS	https://www.nature.com/articles/s42004-023-00939-w	2023	Python	annotation_identification	platform_independent		python_package	database_knowledgebase	ion_mobility_platform_dimension
46	CSU-MS2	Annotation	Molecular library retrieval	https://github.com/tingxiecsu/CSU-MS2	https://pubs.acs.org/doi/10.1021/acs.analchem.5c01594	2025	Python	annotation_identification	platform_independent		python_package	database_knowledgebase	
47	PACCS	Ion Mobility MS		https://github.com/yuxuanliao/PACCS	https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/cem.70040	2025	Python	annotation_identification	platform_independent		python_package	database_knowledgebase	ion_mobility_platform_dimension
