source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
30	LipidFinder 2.0	Lipidomics		https://github.com/ODonnell-Lipidomics/LipidFinder	https://academic.oup.com/bioinformatics/article/37/10/1478/5919072	2021	Python	data_conversion	platform_independent	lipidomics	python_package	workflow_pipeline	
67	HORDB	Organism specific		https://github.com/CPU-HORDB/HORDB	https://www.nature.com/articles/s41597-022-01287-5	2022	PHP, CSS, Perl	data_conversion	platform_independent		command_line	database_knowledgebase	scope_review_adjacent_field
130	rawrr R	Formats		https://github.com/fgcz/rawrr	https://pubs.acs.org/doi/10.1021/acs.jproteome.0c00866	2021	R, C#, TeX	data_conversion	platform_independent		r_package	workflow_pipeline	scope_review_adjacent_field
135	SpectriPy	Formats		https://github.com/rformassspectrometry/SpectriPy	https://joss.theoj.org/papers/10.21105/joss.08070	2025	R, Python	data_conversion	platform_independent		python_package;r_package	programming_package	
149	UniqPy	GC-MS		https://github.com/DNKonanov/uni_cli	https://www.sciencedirect.com/science/article/pii/S0731708522001029	2022	Python	data_conversion	gc_ms		python_package	programming_package	
161	MetaboPAC	GC-MS		https://github.com/gtStyLab/MetaboPAC	https://pubs.rsc.org/en/content/articlelanding/2022/mo/d2mo00168c	2023	MATLAB	data_conversion	gc_ms		matlab	software_application	
186	MobilityTransformR	CE-MS		https://github.com/LiesaSalzer/MobilityTransformR	https://academic.oup.com/bioinformatics/article/38/16/4044/6628580	2022	R	data_conversion	ce_ms		r_package	database_knowledgebase	
247	mzrtsim	GC-MS		https://github.com/yufree/mzrtsim	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.5c01213	2025	R	data_conversion	gc_ms;lc_ms		r_package	database_knowledgebase	
254	OpenTIMS, TimsPy, and TimsR	Ion Mobility MS		www.github.com/michalsta/opentims, www.github.com/MatteoLacki/timspy, www.github.com/MatteoLacki/timsr	https://pubs.acs.org/doi/10.1021/acs.jproteome.0c00962	2021	Python, C++, R	data_conversion	platform_independent	lipidomics	python_package;r_package	programming_package	ion_mobility_platform_dimension
383	Aird	Formats		https://github.com/CSi-Studio/AirdPro	https://link.springer.com/article/10.1186/s12859-021-04490-0	2022	JavaScript, C#	data_conversion	platform_independent		command_line	software_application	
394	MolSpectLLM	Specialized		https://github.com/Eurekashen/MolSpectLLM	https://arxiv.org/abs/2509.21861	2025	Python	data_conversion	platform_independent		python_package	programming_package	mixed_nmr_mentions;broad_source_bucket_manual_review
405	SCMeTA	Single cell metabolomics		https://github.com/ChenLab/SCMeTA	https://academic.oup.com/bioinformatics/article/40/9/btae545/7750353	2024	Python	data_conversion	platform_independent		python_package	workflow_pipeline	consider_single_cell_analysis_type
413	NP Analyst	Specialized		https://www.npanalyst.org/, https://github.com/liningtonlab/npanalyst	https://pubs.acs.org/doi/10.1021/acscentsci.1c01108	2022	Webserver, Python	data_conversion	platform_independent	untargeted	web_app;python_package	workflow_pipeline	broad_source_bucket_manual_review
476	mspack	Formats		https://github.com/fhanau/mspack	https://academic.oup.com/bioinformatics/advance-article-abstract/doi/10.1093/bioinformatics/btab636/6363791	2021	C++, C	data_conversion	platform_independent		command_line	software_application	
481	RefLAS	Lipidomics		https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Project&ProjectID=PR002159	https://www.jlr.org/article/S0022-2275(24)00176-7	2024	Not specified	data_conversion	lc_ms	lipidomics;untargeted		database_knowledgebase	
490	CloMet	Formats		https://github.com/rmallol/clomet	https://pubs.acs.org/doi/10.1021/acs.jproteome.2c00602	2023	Python, JavaScript, Docker	data_conversion	platform_independent		python_package	workflow_pipeline	mixed_nmr_mentions
561	TIMSCONVERT	Formats		https://github.com/gtluu/timsconvert	https://academic.oup.com/bioinformatics/article/38/16/4046/6618521	2022	HTML, Python, JavaScript, CSS, Makefile, Nextflow	data_conversion	platform_independent		python_package	workflow_pipeline	
581	AlphaTims	Formats		https://github.com/MannLabs/alphatims	https://www.mcponline.org/article/S1535-9476(21)00121-3	2021	Python, Shell	data_conversion	platform_independent		python_package	workflow_pipeline	scope_review_adjacent_field
606	mwtab Python Library for RESTful Access	Formats		https://github.com/MoseleyBioinformaticsLab/mwtab	https://www.mdpi.com/2218-1989/11/3/163	2021	Python	data_conversion	platform_independent		python_package	programming_package	mixed_nmr_mentions
658	pyOpenMS-viz	Formats		https://github.com/OpenMS/pyopenms_viz	https://pubs.acs.org/doi/10.1021/acs.jproteome.4c00873	2025	Python, HTML	data_conversion	platform_independent		python_package	workflow_pipeline	
661	mzPeak	Formats		https://github.com/mobiusklein/mzpeak_prototyping	https://pubs.acs.org/doi/full/10.1021/acs.jproteome.5c00435	2025	Rust, Python	data_conversion	platform_independent	lipidomics	python_package	workflow_pipeline	
735	Dear-OMG	Formats		https://github.com/jianweishuai/Dear-OMG	https://link.springer.com/article/10.1007/s12539-025-00786-4	2025	C++	data_conversion	platform_independent		command_line	software_application	
