source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
49	IsoSolve	Isotopic		https://pypi.org/project/isosolve/	https://www.biorxiv.org/content/10.1101/2021.03.08.430771v1	2021	Python	isotope_tracing_flux	platform_independent		python_package	workflow_pipeline	mixed_nmr_mentions
114	isopair	Isotopic		https://github.com/kilgain/MassSpec/tree/main	https://www.biorxiv.org/content/10.1101/2021.12.05.471237v2	2021	Python	isotope_tracing_flux	lc_ms	untargeted;stable_isotope_tracing	python_package	workflow_pipeline	
115	SIMPEL	Isotopic		https://github.com/SIMPELmetabolism/SIMPEL	https://www.nature.com/articles/s42003-024-05844-z	2024	R	isotope_tracing_flux	platform_independent	lipidomics;stable_isotope_tracing	r_package	programming_package	
143	13C-SpaceM	Imaging MS		https://github.com/Buglakova/13C-SpaceM	https://doi.org/10.1038/s42255-024-01118-4	2024	Python	isotope_tracing_flux	imaging_ms		python_package	programming_package	
239	isoSCAN	GC-MS		https://github.com/jcapelladesto/isoSCAN	https://pubs.acs.org/doi/10.1021/acs.analchem.0c02998	2021	R, HTML	isotope_tracing_flux	gc_ms;lc_ms	stable_isotope_tracing	r_package	programming_package	
245	khipu	Isotopic		https://github.com/shuzhao-li-lab/khipu	https://pubs.acs.org/doi/10.1021/acs.analchem.2c05810	2023	Python	isotope_tracing_flux	platform_independent	untargeted;stable_isotope_tracing	python_package	programming_package	
274	FAMetA	Isotopic		https://github.com/maialba3/FAMetA. https://www.fameta.es	https://academic.oup.com/bib/advance-article/doi/10.1093/bib/bbad064/7066347	2023	R, Webserver	isotope_tracing_flux	platform_independent	stable_isotope_tracing	web_app;r_package	workflow_pipeline	
318	CIL-ExPMRM	Isotopic		http://www.exposomemrm.com/	https://pubs.acs.org/doi/abs/10.1021/acs.est.3c01830	2023	Webserver	isotope_tracing_flux	platform_independent		web_app	database_knowledgebase	
424	IsoPairFinder	Isotopic		https://github.com/DoddLab/IsoPairFinder	https://www.biorxiv.org/content/10.1101/2025.08.18.670916v1	2025	R	isotope_tracing_flux	platform_independent	stable_isotope_tracing	r_package	workflow_pipeline	
486	rIDIMS	DIMS		https://github.com/BioinovarLab/rIDIMS	https://www.sciencedirect.com/science/article/abs/pii/S0039914024016527	2025	R	isotope_tracing_flux	direct_infusion_ms	stable_isotope_tracing	r_package	workflow_pipeline	
545	LipidSIM	Lipidomics		NA	https://www.sciencedirect.com/science/article/pii/S1096717624000107	2024	MATLAB	isotope_tracing_flux	platform_independent	lipidomics	matlab	software_application	
555	SERDA	GC-MS		https://github.com/slfan2013/SERDA	https://www.mdpi.com/2218-1989/13/8/944	2023	R	isotope_tracing_flux	gc_ms	untargeted;stable_isotope_tracing	r_package	programming_package	
579	Khipu-web	Isotopic		https://metabolomics.cloud/khipu	https://pubs.acs.org/doi/10.1021/jasms.4c00175	2024	R, Python	isotope_tracing_flux	platform_independent	untargeted;stable_isotope_tracing	python_package;r_package	programming_package	
635	Aerith	Isotopic		https://github.com/thepanlab/Aerith	https://pubs.acs.org/doi/10.1021/acs.analchem.5c03207	2025	C++, R	isotope_tracing_flux	platform_independent	stable_isotope_tracing	r_package	programming_package	
687	Isoreader	Isotopic		https://github.com/isoverse/isoreader	https://joss.theoj.org/papers/10.21105/joss.02878	2021	R	isotope_tracing_flux	platform_independent	stable_isotope_tracing	r_package	programming_package	
694	gutSMASH	Organism specific		https://gutsmash.bioinformatics.nl/ , https://github.com/victoriapascal/gutsmash	https://www.biorxiv.org/content/10.1101/2021.02.25.432841v1	2021	Python, HTML, Webserver	isotope_tracing_flux	platform_independent		web_app;python_package	database_knowledgebase	
