source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
43	MWFormer	Annotation	Class | Property prediction	https://github.com/zhanghailiangcsu/MWFormer	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.4c03781	2024	Python	machine_learning	platform_independent		python_package	programming_package	
126	Mol2CCS	Ion Mobility MS		https://github.com/enveda/ccs-prediction	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00899-w	2024	Python	machine_learning	platform_independent		python_package	programming_package	ion_mobility_platform_dimension
127	MS2Prop	Annotation	Class | Property prediction	NA	https://www.biorxiv.org/content/10.1101/2022.10.09.511482v1	2022	Python	machine_learning	platform_independent		python_package	programming_package	
162	scSpaMet	Spatial Metabolomics		https://github.com/coskunlab/ScSpaMet	https://www.nature.com/articles/s41467-023-43917-5	2023	Python	machine_learning	imaging_ms	spatial_metabolomics;untargeted	python_package	workflow_pipeline	
169	Umatrix	Specialized		https://cran.r-project.org/package=Umatrix	https://academic.oup.com/bib/article/26/1/bbae640/7919969	2024	R	machine_learning	platform_independent	lipidomics	r_package	programming_package	broad_source_bucket_manual_review
182	Mass Spectrum Transformer	Annotation	Class | Property prediction	https://github.com/chensaian/TransG-Net	https://link.springer.com/article/10.1007/s10489-022-04351-0	2023	Python	machine_learning	platform_independent		python_package	programming_package	
199	Graphormer-IR	IR		https://github.com/HopkinsLaboratory/Graphormer-IR	https://pubs.acs.org/doi/10.1021/acs.jcim.4c00378	2024	Python, Cuda, C++, Cython	machine_learning	platform_independent		python_package	programming_package	ir_scope_or_platform
255	mzBucket	Patterns		https://github.com/hildebrandtlab/mzBucket	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-022-04833-5	2022	Python	machine_learning	platform_independent		python_package	programming_package	broad_source_bucket_manual_review;scope_review_adjacent_field
279	MetDIT	Specialized		https://github.com/Li-OmicsLab/MetDIT	https://pubs.acs.org/doi/10.1021/acs.analchem.3c04607	2024	Python	machine_learning	platform_independent		python_package	programming_package	broad_source_bucket_manual_review
317	HExpMetDB	Exposomics		https://github.com/FangLabNTU/HExpMetDB	https://ehp.niehs.nih.gov/doi/10.1289/EHP7722	2021	GUI, Java	machine_learning	platform_independent	exposomics	command_line	database_knowledgebase	
360	QGeoGNN	RT		https://github.com/woshixuhao/Retention-Time-Prediction-for-Chromatographic-Enantioseparation/tree/main	https://www.nature.com/articles/s41467-023-38853-3	2023	Python	machine_learning	platform_independent		python_package	programming_package	
400	AllCCS2	Ion Mobility MS		http://allccs.zhulab.cn/	https://pubs.acs.org/doi/10.1021/acs.analchem.3c02267	2023	Webserver	machine_learning	platform_independent	lipidomics	web_app	database_knowledgebase	ion_mobility_platform_dimension
429	retention_time_gnn	RT		https://github.com/seokhokang/retention_time_gnn	https://pubs.acs.org/doi/10.1021/acs.analchem.3c03177	2023	Python	machine_learning	platform_independent		python_package	programming_package	
431	Machine Learning-Based Retention Time Prediction Tool for Routine LC-MS Data Analysis	RT		https://bitbucket.org/enaminedev/enaminert_prediction	https://pubs.acs.org/doi/full/10.1021/acs.jcim.5c00514	2025	Python	machine_learning	lc_ms		python_package	programming_package	
499	BioTransformer 3.0	Specialized		https://biotransformer.ca	https://academic.oup.com/nar/article/50/W1/W115/6583239	2022	Webserver	machine_learning	platform_independent		web_app	web_service	broad_source_bucket_manual_review
549	MetaboliteChat	Specialized		https://github.com/13501274828/MetaboliteChat	https://www.biorxiv.org/content/10.1101/2025.11.07.687008v1	2025	Python	machine_learning	platform_independent		python_package	programming_package	broad_source_bucket_manual_review
634	MetaPhenotype	Single cell metabolomics		https://github.com/songyuan93/MetaPhenotype	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.4c02038	2024	Python	machine_learning	platform_independent		python_package	programming_package	consider_single_cell_analysis_type
710	Spec2Class	Annotation	Class | Property prediction	https://huggingface.co/VickiPol/binary_models	https://www.biorxiv.org/content/10.1101/2024.03.17.585408v1	2024	Python	machine_learning	lc_ms	untargeted	python_package	workflow_pipeline	
716	NA	Ion Mobility MS		https://github.com/Chen-micslab/QCCAssisted4DSterol/tree/main	https://onlinelibrary.wiley.com/doi/10.1002/anie.202507483	2025	Python	machine_learning	platform_independent		python_package	database_knowledgebase	ion_mobility_platform_dimension
