source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
60	IMN4NPD	Annotation	Molecular Networking	https://github.com/mwang87/NP-Classifier	https://pubs.acs.org/doi/10.1021/acs.analchem.3c04746	2024	Python	molecular_networking	platform_independent		python_package	workflow_pipeline	
68	SSN-CCSPIF	Ion Mobility MS		https://github.com/Anqi-Guo0105/Trendline-based-IM-MS-Feature-Filtering-Software-V1.0	https://www.sciencedirect.com/science/article/pii/S0003267023009418	2023	Python	molecular_networking	platform_independent		python_package	programming_package	ion_mobility_platform_dimension
82	E-SGMN	Annotation	Molecular Networking	https://sourceforge.net/projects/e-sgmn/	https://pubs.acs.org/doi/full/10.1021/acs.analchem.5c00314	2025	NA	molecular_networking	platform_independent	untargeted		database_knowledgebase	
99	The Molecular Human	Organism specific		https://littleswissriver.shinyapps.io/generate_network/	https://www.nature.com/articles/s41467-024-51134-x	2024	Webserver	molecular_networking	platform_independent	multiomics	web_app	database_knowledgebase	
112	Doxlipid	Lipidomics		https://figshare.com/articles/journal_contribution/_em_strong_In_silico_strong_em_strong_-predicted_dynamic_oxlipidomics_MS_MS_library_High-throughput_discovery_and_characterization_of_unknown_oxidized_lipids_strong_/23700177/4	https://pubs.acs.org/doi/10.1021/acs.analchem.3c04459	2024	NA	molecular_networking	lc_ms	lipidomics		software_application	
165	MAW	Holistic/ Standalone Tools		https://github.com/zmahnoor14/MAW	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00695-y	2023	Python, R	molecular_networking	lc_ms	untargeted	python_package;r_package	database_knowledgebase	broad_source_bucket_manual_review
175	GNPS2	Holistic/ Standalone Tools		https://gnps2.org	https://www.nature.com/articles/s41596-025-01237-6	2025	Web platform (Python, Java)	molecular_networking	lc_ms		python_package	workflow_pipeline	broad_source_bucket_manual_review
249	MeRgeION	Holistic/ Standalone Tools		https://github.com/daniellyz/meRgeION2	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.2c04343	2023	R	molecular_networking	lc_ms		r_package	database_knowledgebase	broad_source_bucket_manual_review
265	SIMILE	Annotation	Molecular Networking	https://github.com/biorack/simile	https://www.nature.com/articles/s41467-022-30118-9	2022	Python	molecular_networking	platform_independent	untargeted	python_package	programming_package	
340	UmetaFlow	Multifunctional		https://github.com/biosustain/snakemake_UmetaFlow	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00724-w	2023	Python	molecular_networking	lc_ms	untargeted	python_package	workflow_pipeline	broad_source_bucket_manual_review
378	ConCISE	Annotation	Molecular Networking	http://github.com/zquinlan/concise	https://www.mdpi.com/2218-1989/12/12/1275	2022	Python, R	molecular_networking	platform_independent	untargeted	python_package;r_package	programming_package	
380	XCMS-METLIN	Multifunctional		https://xcmsonline.scripps.edu/	https://www.embopress.org/doi/full/10.1038/s44320-024-00063-4	2024	Webserver, R, Python, PHP, JavaScript	molecular_networking	platform_independent	lipidomics	web_app;python_package;r_package	database_knowledgebase	broad_source_bucket_manual_review
382	3D-MPEA	Annotation	Molecular Networking	https://github.com/ZibianFan/3D-MPEA	https://pubs.acs.org/doi/10.1021/acs.analchem.4c00256	2024	Python	molecular_networking	platform_independent	multiomics	python_package	database_knowledgebase	
404	MetDNA3	Multifunctional		https://github.com/ZhuMetLab/MrnAnnoAlgo3, http://metdna.zhulab.cn/	https://www.nature.com/articles/s41467-025-63536-6	2025	R, Webserver	molecular_networking	platform_independent	untargeted	web_app;r_package	web_service	broad_source_bucket_manual_review
461	BAM	Annotation	Molecular Networking	https://github.com/HassounLab/BAM	https://pubs.acs.org/doi/10.1021/acs.analchem.4c01565	2025	Python	molecular_networking	platform_independent	untargeted	python_package	programming_package	
482	ChemWalker	Annotation	Molecular Networking	https://github.com/computational-chemical-biology/ChemWalker	https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btad078/7067745	2023	Python	molecular_networking	platform_independent	untargeted	python_package	programming_package	
538	IIMN	Annotation	Molecular Networking	https://ccms-ucsd.github.io/GNPSDocumentation/fbmn-iin/	https://www.nature.com/articles/s41467-021-23953-9	2021	NA	molecular_networking	platform_independent			software_application	
563	MMSA	Annotation	Molecular Networking	https://multiplealignment.gnps2.org/setscreation , https://github.com/Wang-Bioinformatics-Lab/NetworkFamily_MultipleAlignment_Website	https://pubs.acs.org/doi/abs/10.1021/jasms.5c00237	2025	Python, Webserver	molecular_networking	platform_independent		web_app;python_package	web_service	
569	SGMNS	Annotation	Molecular Networking	https://github.com/DLUT-datas/SGMNS	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.3c00849	2023	Python, R	molecular_networking	lc_ms	untargeted	python_package;r_package	programming_package	
578	MCN	Annotation	Molecular Networking	https://github.com/Alexander0/molecular_communities	https://www.biorxiv.org/content/10.1101/2024.08.02.606356v2	2024	Python	molecular_networking	platform_independent	untargeted	python_package	programming_package	
591	MolNotator	Annotation	Molecular Networking	https://github.com/ZzakB/MolNotator	https://www.biorxiv.org/content/10.1101/2021.12.21.473622v1	2021	Python	molecular_networking	lc_ms	untargeted	python_package	database_knowledgebase	
685	SSN	Imaging MS		https://github.com/LanekoffLab/i2i	https://www.biorxiv.org/content/10.1101/2025.03.07.642022v3	2025	MATLAB	molecular_networking	imaging_ms	lipidomics;spatial_metabolomics;untargeted	matlab	software_application	
728	MS2Lipid	Lipidomics		https://github.com/systemsomicslab/ms2lipid/tree/main/notebooks	https://www.mdpi.com/2218-1989/14/11/602	2024	Python	molecular_networking	platform_independent	lipidomics;untargeted	python_package	programming_package	
747	MNA	Annotation	Molecular Networking	NA	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4968684	2024	NA	molecular_networking	lc_ms	multiomics		software_application	
