source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
24	MSConnect	Specialized		https://github.com/RTKlab-BYU/MSConnect	https://pubs.acs.org/doi/abs/10.1021/acs.jproteome.4c00854	2025	Python, HTML, JavaScript, CSS	multiomics_integration	platform_independent		python_package	workflow_pipeline	broad_source_bucket_manual_review;scope_review_adjacent_field
66	LipidSigR	Lipidomics		https://lipidsig.bioinfomics.org/lipidsigr/index.html; https://github.com/BioinfOMICS/LipidSigR	https://academic.oup.com/bioinformaticsadvances/article/5/1/vbaf047/8068804	2025	R, Webserver	multiomics_integration	platform_independent	lipidomics	web_app;r_package	workflow_pipeline	
77	SOmicsFusion	Multiomics		https://zenodo.org/records/7700528	https://www.sciencedirect.com/science/article/pii/S2949747724000162	2024	NA	multiomics_integration	platform_independent	spatial_metabolomics;multiomics		database_knowledgebase	
87	MetaNet	Multiomics		https://github.com/Asa12138/MetaNet	https://www.biorxiv.org/content/10.1101/2025.06.26.661636v1	2025	R	multiomics_integration	platform_independent	multiomics	r_package	programming_package	
111	BATMAN‑TCM 2.0	Multiomics		http://bionet.ncpsb.org.cn/batman-tcm/	https://academic.oup.com/nar/article/52/D1/D1110/7334089	2024	R	multiomics_integration	platform_independent	multiomics	r_package	database_knowledgebase	
157	haCCA	Multiomics		https://github.com/LittleLittleCloud/haCCA	https://www.biorxiv.org/content/10.1101/2024.08.20.608773v2	2024	Python	multiomics_integration	maldi_ms	multiomics	python_package	workflow_pipeline	
171	GutUDB	Organism specific		https://intestine.splicedb.net/; https://github.com/Ansanqi/GutUDB	https://onlinelibrary.wiley.com/doi/full/10.1002/imt2.195	2024	Java, JavaScript, Webserver	multiomics_integration	platform_independent	multiomics	web_app	database_knowledgebase	
178	gutMGene v2.0	Organism specific		http://bio-computing.hrbmu.edu.cn/gutmgene	https://academic.oup.com/nar/article/53/D1/D783/7850954	2024	Webserver	multiomics_integration	platform_independent		web_app	database_knowledgebase	
202	BnIR	Multiomics		http://yanglab.hzau.edu.cn/BnIR	https://www.cell.com/molecular-plant/S1674-2052(23)00071-0	2023	Webserver	multiomics_integration	platform_independent	multiomics	web_app	database_knowledgebase	
212	M2S	Specialized		https://github.com/rjdossan/M2S	https://pubs.acs.org/doi/10.1021/acs.analchem.1c03592	2022	MATLAB	multiomics_integration	lc_ms	untargeted	matlab	software_application	broad_source_bucket_manual_review
222	Metabokiller	Patterns		https://pypi.org/project/Metabokiller/	https://doi.org/10.1038/s41589-022-01110-7	2022	Python	multiomics_integration	platform_independent		python_package	programming_package	broad_source_bucket_manual_review
238	POMAShiny	Multifunctional		https://github.com/nutrimetabolomics/POMAShiny	https://journals.plos.org/ploscompbiol/article?id=10.1371%2Fjournal.pcbi.1009148	2021	R, Webserver	multiomics_integration	platform_independent		web_app;r_package	workflow_pipeline	broad_source_bucket_manual_review
272	iSODA	Multiomics/Visualization		http://isoda.online/	https://pubmed.ncbi.nlm.nih.gov/39886798/	2025	R	multiomics_integration	platform_independent	multiomics	r_package	programming_package	
