source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
5	GMDP Database	Organism specific		https://lccl.shinyapps.io/GMDP/	https://www.biorxiv.org/content/10.1101/2023.12.11.571124v1	2023	Webserver	pathway_interpretation	platform_independent	untargeted	web_app	database_knowledgebase	
6	Neurolipid Atlas	Lipidomics		https://neurolipidatlas.com/	https://www.nature.com/articles/s42255-025-01365-z	2025	Webserver	pathway_interpretation	platform_independent	lipidomics;multiomics	web_app	database_knowledgebase	
13	WebGestalt	Pathway, Enrichment and Ontology Tools		https://www.webgestalt.org	https://academic.oup.com/nar/article/52/W1/W415/7684598	2024	Rust	pathway_interpretation	platform_independent	multiomics		database_knowledgebase	
15	NetAurHPD	Metabolic networks		https://github.com/TamirBar-Tov/NetAurHPD-Network-Auralization-Hyperlink-Prediction-Method	https://arxiv.org/abs/2410.22030	2024	Python	pathway_interpretation	platform_independent		python_package	programming_package	
27	MetNet	Metabolic networks		https://www.dsi.unive.it/~biolab/MetNet.php, https://github.com/simeoni-biolab/MetNet	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0246962	2021	Java, Standalone	pathway_interpretation	platform_independent		command_line	database_knowledgebase	
55	PaintOmics 4	Pathway, Enrichment and Ontology Tools		https://paintomics.org	https://academic.oup.com/nar/article/50/W1/W551/6591534	2022	Python, R	pathway_interpretation	platform_independent	multiomics	python_package;r_package	programming_package	
56	MBROLE3	Pathway, Enrichment and Ontology Tools		http://csbg.cnb.csic.es/mbrole3	https://academic.oup.com/nar/article/51/W1/W305/7161529	2023	Webserver	pathway_interpretation	platform_independent		web_app	web_service	
61	mVOC 4.0	Organism specific		http://bioinformatics.charite.de/mvoc	https://academic.oup.com/nar/article/53/D1/D1692/7850955	2025	Webserver	pathway_interpretation	platform_independent		web_app	database_knowledgebase	
63	Xconnector	Pathway, Enrichment and Ontology Tools		https://github.com/Proteomicslab57357/Xconnector	https://www.sciencedirect.com/science/article/pii/S1874391921002013	2021	Python	pathway_interpretation	platform_independent		python_package	database_knowledgebase	
69	FNICM	Metabolic networks		https://github.com/LiQi94/FNICM	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.3c04131	2024	Java	pathway_interpretation	platform_independent	targeted	command_line	software_application	
