source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
16	SMQVP	Spatial Metabolomics		https://github.com/mzlab-research/SMQVP	https://www.mdpi.com/2218-1989/15/6/354	2025	R	preprocessing	imaging_ms	spatial_metabolomics	r_package	programming_package	
22	NP3 MS Workflow	Multifunctional		https://github.com/danielatrivella/NP3_MS_Workflow	https://pubs.acs.org/doi/10.1021/acs.analchem.3c05829	2024	C++, R, Python, JavaScript, C	preprocessing	lc_ms	untargeted	python_package;r_package	workflow_pipeline	broad_source_bucket_manual_review
23	massNet	Imaging MS		https://github.com/wabdelmoula/massNet	https://academic.oup.com/bioinformatics/advance-article-abstract/doi/10.1093/bioinformatics/btac032/6510930	2022	Python	preprocessing	imaging_ms		python_package	programming_package	
25	Eclipse	Pre-processing		https://github.com/broadinstitute/bmxp/tree/main/bmxp/eclipse	https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btaf290/8128335	2025	Python	preprocessing	lc_ms		python_package	programming_package	
34	MS2Planner	Pre-processing		https://github.com/mohimanilab/MS2Planner	https://academic.oup.com/bioinformatics/article/37/Supplement_1/i231/6319686	2021	Python	preprocessing	platform_independent	untargeted	python_package	workflow_pipeline	
45	GCMSFormer	Pre-processing		https://github.com/zxguocsu/GCMSFormer	https://pubs.acs.org/doi/10.1021/acs.analchem.3c05772	2024	Python	preprocessing	gc_ms		python_package	programming_package	
74	DeepRTAlign	RT		https://github.com/PHOENIXcenter/deeprtalign	https://www.nature.com/articles/s41467-023-43909-5	2023	Python	preprocessing	lc_ms		python_package	programming_package	
79	Met4DX	Ion Mobility MS		https://met4dx.zhulab.cn/, https://github.com/ZhuMetLab/Met4DX	https://pubs.acs.org/doi/full/10.1021/jasms.4c00290	2024	R, C++	preprocessing	lc_ms	untargeted	r_package	workflow_pipeline	ion_mobility_platform_dimension
83	LongitudinalProf-MSMS-Method	Pre-processing		https://github.com/academicCQMD/LongitudinalProf-MSMS-Method	https://pubs.acs.org/doi/10.1021/acs.analchem.5c01414	2025	Python	preprocessing	platform_independent	untargeted	python_package	database_knowledgebase	
93	ptairMS	Specialized		https://bioconductor.org/packages/release/bioc/html/ptairMS.html	https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btac031/6511435	2022	R	preprocessing	platform_independent		r_package	workflow_pipeline	broad_source_bucket_manual_review
96	Finnee 2024	Pre-processing		https://github.com/glerny/Finnee2024	https://chemrxiv.org/engage/chemrxiv/article-details/662bd5fb21291e5d1dcc6568	2024	MATLAB	preprocessing	lc_ms	targeted;untargeted	matlab	software_application	
98	maplet	Pre-processing		https://github.com/krumsieklab/maplet	https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btab741/6409851	2022	R	preprocessing	platform_independent		r_package	workflow_pipeline	
101	CycloBranch	Pre-processing		https://ms.biomed.cas.cz/cyclobranch; https://github.com/novak-jiri/cyclobranch	https://journals.sagepub.com/doi/abs/10.1177/14690667231164766	2023	C++	preprocessing	lc_ms		command_line	software_application	
110	MetCohort	Specialized		https://github.com/JunYang2021/MetCohort	https://pubs.acs.org/doi/10.1021/acs.analchem.4c04906	2025	Python	preprocessing	lc_ms	untargeted	python_package	programming_package	broad_source_bucket_manual_review
116	LAGF	Pre-processing		https://github.com/zsspython/LAGF	https://pubs.acs.org/doi/10.1021/acs.analchem.5c00060	2025	Python	preprocessing	lc_ms		python_package	workflow_pipeline	
