source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
7	Pyrfume	Database		https://pyrfume.org/	https://www.nature.com/articles/s41597-024-04051-z	2024	Python	reference_data_search	platform_independent		python_package	database_knowledgebase	
17	MetHoS	Database		https://methos.cebitec.uni-bielefeld.de/welcomeview	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-022-04793-w	2022	Database	reference_data_search	platform_independent	untargeted		database_knowledgebase	
50	MIADB	Spectral Library		https://gnps.ucsd.edu	https://link.springer.com/protocol/10.1007/978-1-0716-2349-7_7	2022	Webserver	reference_data_search	platform_independent		web_app	spectral_library	
51	FragHub	Database		https://github.com/eMetaboHUB/FragHub	https://pubs.acs.org/doi/10.1021/acs.analchem.4c02219	2024	Python	reference_data_search	platform_independent	untargeted	python_package	database_knowledgebase	
62	MedMeta	Database		https://cbcb.cdutcm.edu.cn/MedMeta	https://www.sciencedirect.com/science/article/pii/S2095809925005697#s0005	2025	Webserver	reference_data_search	platform_independent		web_app	database_knowledgebase	
90	MSCAT	Database		https://mscat.metabolomicsworkbench.org/	https://www.mdpi.com/2218-1989/11/10/678	2021	Webserver	reference_data_search	platform_independent		web_app	database_knowledgebase	
104	MSnLib	Database		https://github.com/corinnabrungs/msn_tree_library	https://www.nature.com/articles/s41592-025-02813-0	2025	Python	reference_data_search	platform_independent	exposomics;untargeted	python_package	database_knowledgebase	
106	MassSpecBlocks	Database		https://github.com/privrja/MassSpecBlocks	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-021-00530-2	2021	JavaScript	reference_data_search	platform_independent		command_line	database_knowledgebase	
123	PharmMet DB	Database		https://github.com/ClinicalBiomarkersLaborabory/PharmMet	https://www.sciencedirect.com/science/article/pii/S0090955625094929	2025	R	reference_data_search	lc_ms		r_package	database_knowledgebase	
144	EMBL-MCF 2.0	Spectral Library		https://www.embl.org/groups/metabolomics/instrumentation-and-software/#MCF-library	https://link.springer.com/article/10.1007/s11306-024-02176-1	2024	Webserver	reference_data_search	lc_ms	untargeted	web_app	spectral_library	
154	HREI-MSDB	Database		https://github.com/mtshn/gchrmsexplain	https://chemrxiv.org/engage/chemrxiv/article-details/68a556ea23be8e43d6fdae04	2025	Java, HTML	reference_data_search	platform_independent		command_line	database_knowledgebase	
173	HSM3	Database		Spreadsheets linked to the article	https://www.sciencedirect.com/science/article/pii/S0021967324005016	2024	NA	reference_data_search	platform_independent			database_knowledgebase	
