source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
14	MetaboLINK/ PCA-GLASSO	Statistical		https://github.com/jlichtarge/pcaGLASSO	https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2024.1520982	2025	Python	statistics	platform_independent		python_package	programming_package	mixed_nmr_mentions
38	MAMSI	Statistical		https://pypi.org/project/mamsi/	https://pubs.acs.org/doi/10.1021/acs.analchem.5c01327	2025	Python	statistics	lc_ms	untargeted	python_package	workflow_pipeline	
91	MAI	Statistical		https://bioconductor.org/packages/release/bioc/html/MAI.html	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-022-04659-1	2022	R	statistics	platform_independent		r_package	programming_package	
92	DisCo P-ad	Statistical		https://github.com/KechrisLab/DisCoPad	https://www.mdpi.com/2218-1989/15/1/28	2025	R, MATLAB	statistics	platform_independent		r_package;matlab	programming_package	
159	PredCMB	Statistical		https://www.sysbiolab.org/predcmb	https://academic.oup.com/bioinformatics/article/41/1/btaf020/7954692	2025	Python	statistics	platform_independent		python_package	programming_package	
177	LiqBioer	Organism specific		http://www.medsysbio.org:8080/LiqBioer/	https://academic.oup.com/database/article/doi/10.1093/database/baac077/6687198	2022	Webserver	statistics	platform_independent		web_app	database_knowledgebase	
227	Easy-Amanida	Specialized		https://github.com/mariallr/easy-amanida	https://onlinelibrary.wiley.com/doi/10.1002/jrsm.1713	2024	R, HTML	statistics	platform_independent		r_package	workflow_pipeline	broad_source_bucket_manual_review
240	cluster-CV	Statistical		NA	https://www.sciencedirect.com/science/article/pii/S0003267024008638	2024	MATLAB	statistics	platform_independent		matlab	software_application	
263	MetaHD	Statistical		https://bookdown.org/a2delivera/MetaHD/	https://academic.oup.com/bioinformatics/article/40/7/btae470/7721025	2024	R	statistics	platform_independent		r_package	programming_package	
269	MiMIR	Organism specific		https://github.com/DanieleBizzarri/MiMIR	https://academic.oup.com/bioinformatics/article/38/15/3847/6607582	2022	R, CSS	statistics	platform_independent		r_package	database_knowledgebase	mixed_nmr_mentions
307	imputomics	Statistical		https://github.com/BioGenies/imputomics, https://imputomics.umb.edu.pl	https://academic.oup.com/bioinformatics/article/40/3/btae098/7611648	2024	R, Webserver	statistics	platform_independent		web_app;r_package	web_service	
308	MeTEor	Statistical		https://github.com/scibiome/meteor	https://academic.oup.com/bioinformaticsadvances/article/4/1/vbae178/7900315	2024	R	statistics	platform_independent		r_package	programming_package	
332	SMART 2.0	Statistical		https://github.com/YuJenL/SMART	https://pubs.acs.org/doi/full/10.1021/acs.analchem.5c03225	2025	R	statistics	platform_independent	targeted;untargeted	r_package	programming_package	
370	SpectraX	Statistical		https://github.com/weantony/SpectraX	https://pubs.acs.org/doi/10.1021/jasms.3c00322	2024	MATLAB	statistics	platform_independent		matlab	software_application	
448	PLSKO	Statistical		https://github.com/guannan-yang/PLSKO	https://academic.oup.com/bioinformatics/article/41/9/btaf475/8244280	2025	HTML, R	statistics	platform_independent	multiomics	r_package	programming_package	
468	wscaling.R	Statistical		https://github.com/nishithkumarpaul/robustScaling/blob/main/wscaling.R	https://arxiv.org/abs/2208.00603	2023	R	statistics	platform_independent		r_package	programming_package	
469	omicsMIC	Statistical		https://github.com/WQLin8/omicsMIC	https://academic.oup.com/nargab/article/6/2/lqae071/7693416	2024	Not specified	statistics	platform_independent	lipidomics	command_line	software_application	
552	Amanida	Specialized		https://github.com/mariallr/amanida	https://academic.oup.com/bioinformatics/article/38/2/583/6354350	2022	HTML, R, CSS	statistics	platform_independent		r_package	programming_package	broad_source_bucket_manual_review
643	rMisbeta	Statistical		https://cran.r-project.org/package=rMisbeta	https://www.sciencedirect.com/science/article/abs/pii/S0010482521007058	2021	R	statistics	platform_independent		r_package	programming_package	
690	GetFeatistics	Statistical		https://github.com/FrigerioGianfranco/GetFeatistics	https://doi.org/10.1515/jib-2025-0047	2025	R	statistics	platform_independent	untargeted	r_package	workflow_pipeline	
742	MultiClassMetabo	Statistical		http://idrblab.cn/multiclassmetabo/	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.3c03212	2024	Webserver	statistics	platform_independent		web_app	web_service	
