source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
118	arcMS	Specialized		https://github.com/leesulab/arcMS	https://academic.oup.com/bioinformaticsadvances/article/4/1/vbae160/7845273	2024	R	visualization_reporting	platform_independent		r_package	workflow_pipeline	broad_source_bucket_manual_review
128	msiFlow	Imaging MS		https://github.com/Immunodynamics-Engel-Lab/msiflow	https://www.nature.com/articles/s41467-024-55306-7	2025	Python	visualization_reporting	imaging_ms;maldi_ms		python_package	workflow_pipeline	
163	Multipass CCS Refiner	Specialized		https://github.com/facundof2016/Multipass-CCS-Refiner; https://ericgier.shinyapps.io/Multipass-CCS-Refiner/	https://pubs.acs.org/doi/10.1021/jasms.5c00199	2025	R	visualization_reporting	platform_independent		web_app;r_package	web_service	broad_source_bucket_manual_review
172	GraphBio	Visualization		https://github.com/databio2022/GraphBio	https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2022.957317	2022	R	visualization_reporting	platform_independent		r_package	programming_package	
201	MariClus	Biosynthetic Gene Clusters		https://www.mariclus.com	https://www.mdpi.com/1660-3397/21/8/449	2023	Webserver	visualization_reporting	platform_independent		web_app	web_service	consider_genome_metabolome_linking_capability
358	MODE	Visualization		https://github.com/pmartR/MODE_ShinyApp	https://pubs.acs.org/doi/10.1021/acs.jproteome.4c00650	2025	R	visualization_reporting	platform_independent	lipidomics	r_package	programming_package	
363	MetEx	Holistic/ Standalone Tools		https://mo.princeton.edu/MetEx/	https://pubs.acs.org/doi/10.1021/acschembio.1c00737	2021	Webserver	visualization_reporting	lc_ms		web_app	web_service	broad_source_bucket_manual_review
485	ClusterApp	Visualization		http://ccbl-apps.fcfrp.usp.br/ClusterApp	https://www.biorxiv.org/content/10.1101/2025.02.12.637912v1	2025	Python, JavaScript	visualization_reporting	lc_ms		python_package	workflow_pipeline	
515	RDD metabolomics platform	Visualization		https://github.com/bittremieuxlab/gnps-rdd; https://gnps-rdd.streamlit.app/	https://www.biorxiv.org/content/10.1101/2025.11.05.686710v1	2025	Python	visualization_reporting	platform_independent	untargeted	python_package	programming_package	
603	macroMS	Imaging MS		https://github.com/macroMS/macroMS_web	https://pubs.acs.org/doi/abs/10.1021/jasms.1c00013	2021	JavaScript, Python	visualization_reporting	imaging_ms		python_package	programming_package	
608	PathwayNexus	Visualization		https://cls.uni-konstanz.de/software/pathway-nexus/overview/	https://academic.oup.com/bioinformatics/article/40/6/btae310/7667867	2024	Java	visualization_reporting	platform_independent			software_application	
610	lcmsWorld	Visualization		https://github.com/PGB-LIV/lcmsWorld	https://pubs.acs.org/doi/abs/10.1021/acs.jproteome.0c00618	2021	C, C++	visualization_reporting	lc_ms		command_line	software_application	
644	EDaViS	Visualization		https://github.com/LRuehrmund/RoMBAT	https://star-protocols.cell.com/protocols/3222	2024	R	visualization_reporting	platform_independent		r_package	programming_package	
649	Pew2	Imaging MS		https://github.com/djdt/pewpew	https://pubs.acs.org/doi/10.1021/acs.analchem.1c02138	2021	Python, C	visualization_reporting	imaging_ms		python_package	programming_package	scope_review_adjacent_field
662	OpenMS WebApps	Multifunctional		https://github.com/OpenMS/streamlit-template	https://pubs.acs.org/doi/10.1021/acs.jproteome.4c00872	2025	Python	visualization_reporting	lc_ms		python_package	programming_package	broad_source_bucket_manual_review
667	MS-VIS	Visualization		https://github.com/hkevgill/MS-VIS	https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/rcm.9253	2022	R	visualization_reporting	platform_independent		r_package	programming_package	
695	FERMO	Multifunctional		https://fermo.bioinformatics.nl/	https://www.biorxiv.org/content/10.1101/2022.12.21.521422v1	2022	Webserver, HTML, JavaScript, Python	visualization_reporting	lc_ms		web_app;python_package	web_service	broad_source_bucket_manual_review
701	SpecXplore	Visualization		https://github.com/kevinmildau/specXplore	https://pubs.acs.org/doi/full/10.1021/acs.analchem.3c04444	2024	Python	visualization_reporting	platform_independent	untargeted	python_package	programming_package	
703	RAIChU	Visualization		https://github.com/BTheDragonMaster/RAIChU	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00898-x	2024	Python	visualization_reporting	platform_independent		python_package	database_knowledgebase	
